Tipo de Armação;Hcg;H1;H2;H3;L1;L2;L3;Fh;Fv;Tipo;Peso;
CR1;0,00;-3,00;-4,50;-6,00;2,35;-2,35;2,70;1638;1078;S;0;
CR2;0,00;-3,00;-4,50;-6,00;2,35;-2,35;2,70;1638;1078;S;0;
CR3;0,00;-3,00;-4,50;-6,00;2,35;-2,35;2,70;1638;1078;S;0;
CR4;0,00;-3,00;-4,50;-6,00;2,35;-2,35;2,70;1638;1078;S;0;
CR5;0,00;-3,00;-4,50;-6,00;2,35;-2,35;2,70;1638;1078;S;0;
CR6;0,00;-3,00;-4,50;-6,00;2,35;-2,35;2,70;1638;1078;S;0;
CR7;0,00;-3,00;-4,50;-6,00;2,35;-2,35;2,70;1638;1078;S;0;
DR0;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR0 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR1;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR1 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR10;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR10 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR11;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR11 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR12;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR12 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR2;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR2 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR3;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR3 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR4;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR4 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR5;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR5 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR6;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR6 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR7;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR7 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR8;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR8 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR9;1,50;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DR9 S/CABEÇOTE;0,00;-1,45;-3,65;-5,85;2,35;2,70;2,35;2476;512;D;0;
DRE1;1,50;-1,45;-4,40;-7,35;2,35;2,70;2,35;2476;512;D;0;
DRE10;1,50;-1,45;-4,40;-7,35;2,35;2,70;2,35;2476;512;D;0;
DRE11;1,50;-1,45;-4,40;-7,35;2,35;2,70;2,35;2476;512;D;0;
DRE12;1,50;-1,45;-4,40;-7,35;2,35;2,70;2,35;2476;512;D;0;
DRE2;1,50;-1,45;-4,40;-7,35;2,35;2,70;2,35;2476;512;D;0;
DRE3;1,50;-1,45;-4,40;-7,35;2,35;2,70;2,35;2476;512;D;0;
DRE4;1,50;-1,45;-4,40;-7,35;2,35;2,70;2,35;2476;512;D;0;
DRE5;1,50;-1,45;-4,40;-7,35;2,35;2,70;2,35;2476;512;D;0;
DRE6;1,50;-1,45;-4,40;-7,35;2,35;2,70;2,35;2476;512;D;0;
DRE7;1,50;-1,45;-4,40;-7,35;2,35;2,70;2,35;2476;512;D;0;
DRE8;1,50;-1,45;-4,40;-7,35;2,35;2,70;2,35;2476;512;D;0;
DRE9;1,50;-1,45;-4,40;-7,35;2,35;2,70;2,35;2476;512;D;0;
DS1;0,00;-2,90;-5,10;-7,30;2,35;2,70;2,35;392;395;D;0;
DS10;0,00;-2,90;-5,10;-7,30;2,35;2,70;2,35;392;395;D;0;
DS11;0,00;-2,90;-5,10;-7,30;2,35;2,70;2,35;392;395;D;0;
DS12;0,00;-2,90;-5,10;-7,30;2,35;2,70;2,35;392;395;D;0;
DS13;0,00;-2,90;-5,10;-7,30;2,35;2,70;2,35;392;395;D;0;
DS14;0,00;-2,90;-5,10;-7,30;2,35;2,70;2,35;392;395;D;0;
DS2;0,00;-2,90;-5,10;-7,30;2,35;2,70;2,35;392;395;D;0;
DS3;0,00;-2,90;-5,10;-7,30;2,35;2,70;2,35;392;395;D;0;
DS4;0,00;-2,90;-5,10;-7,30;2,35;2,70;2,35;392;395;D;0;
DS5;0,00;-2,90;-5,10;-7,30;2,35;2,70;2,35;392;395;D;0;
DS6;0,00;-2,90;-5,10;-7,30;2,35;2,70;2,35;392;395;D;0;
DS7;0,00;-2,90;-5,10;-7,30;2,35;2,70;2,35;392;395;D;0;
DS8;0,00;-2,90;-5,10;-7,30;2,35;2,70;2,35;392;395;D;0;
DS9;0,00;-2,90;-5,10;-7,30;2,35;2,70;2,35;392;395;D;0;
DSE1;0,00;-2,90;-5,80;-8,70;2,35;2,70;2,35;392;395;D;0;
DSE10;0,00;-2,90;-5,80;-8,70;2,35;2,70;2,35;392;395;D;0;
DSE11;0,00;-2,90;-5,80;-8,70;2,35;2,70;2,35;392;395;D;0;
DSE2;0,00;-2,90;-5,80;-8,70;2,35;2,70;2,35;392;395;D;0;
DSE3;0,00;-2,90;-5,80;-8,70;2,35;2,70;2,35;392;395;D;0;
DSE4;0,00;-2,90;-5,80;-8,70;2,35;2,70;2,35;392;395;D;0;
DSE5;0,00;-2,90;-5,80;-8,70;2,35;2,70;2,35;392;395;D;0;
DSE6;0,00;-2,90;-5,80;-8,70;2,35;2,70;2,35;392;395;D;0;
DSE7;0,00;-2,90;-5,80;-8,70;2,35;2,70;2,35;392;395;D;0;
DSE8;0,00;-2,90;-5,80;-8,70;2,35;2,70;2,35;392;395;D;0;
DSE9;0,00;-2,90;-5,80;-8,70;2,35;2,70;2,35;392;395;D;0;
F165CD;0,00;-2,80;-5,50;-8,20;2,25;2,25;2,25;2402;784;D;0;
F20CA;0,00;-2,35;-3,70;-5,05;2,00;-2,00;2,00;450;750;S;0;
F20CD;0,00;-2,35;-4,60;-6,85;2,00;2,00;2,00;221;392;D;0;
F20MD;0,00;-0,45;-2,25;-4,05;1,30;1,30;1,30;221;392;D;0;
F30CD;0,00;-2,35;-4,60;-6,85;2,00;2,00;2,00;368;784;D;0;
F45CA;0,00;-2,35;-3,70;-5,05;2,10;-2,10;2,10;1025;500;S;0;
F45CM;0,00;-0,45;-1,35;-2,25;1,40;-1,40;1,40;1025;500;S;0;
F45MD;0,00;-0,45;-2,25;-4,05;1,40;1,40;1,40;512,5;250;D;0;
F65CA;0,00;-2,35;-3,70;-5,05;2,10;-2,10;2,10;1750;750;S;0;
F65CD;0,00;-2,65;-4,90;-7,15;2,10;2,10;2,10;858;392;D;0;
F65MD;0,00;-0,45;-2,25;-4,05;1,40;1,40;1,40;858;392;D;0;
F95CA;0,00;-2,80;-5,50;-5,50;2,25;-2,25;2,25;2525;784;S;0;
F95CD;0,00;-2,80;-5,50;-8,20;2,25;2,25;2,25;1275;502;D;0;
F95MD;0,00;-0,60;-2,40;-4,20;1,65;1,65;1,65;1275;502;D;0;
GR1;1,50;-1,45;-3,65;-5,85;2,35;-2,70;2,35;2476;512;S;0;
GR10;1,50;-1,45;-3,65;-5,85;2,35;-2,70;2,35;2476;512;S;0;
GR11;1,50;-1,45;-3,65;-5,85;2,35;-2,70;2,35;2476;512;S;0;
GR12;1,50;-1,45;-3,65;-5,85;2,35;-2,70;2,35;2476;512;S;0;
GR2;1,50;-1,45;-3,65;-5,85;2,35;-2,70;2,35;2476;512;S;0;
GR3;1,50;-1,45;-3,65;-5,85;2,35;-2,70;2,35;2476;512;S;0;
GR4;1,50;-1,45;-3,65;-5,85;2,35;-2,70;2,35;2476;512;S;0;
GR5;1,50;-1,45;-3,65;-5,85;2,35;-2,70;2,35;2476;512;S;0;
GR6;1,50;-1,45;-3,65;-5,85;2,35;-2,70;2,35;2476;512;S;0;
GR7;1,50;-1,45;-3,65;-5,85;2,35;-2,70;2,35;2476;512;S;0;
GR8;1,50;-1,45;-3,65;-5,85;2,35;-2,70;2,35;2476;512;S;0;
GR9;1,50;-1,45;-3,65;-5,85;2,35;-2,70;2,35;2476;512;S;0;
GS1;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS10;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS11;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS12;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS13;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS14;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS2;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS3;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS4;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS5;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS6;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS7;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS8;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
GS9;0,00;-2,90;-5,10;-7,30;2,35;-2,70;2,35;392;395;S;0;
P1000/G1;0,00;0,00;-1,00;-2,00;1,50;-1,50;1,50;333;200;S;116;
P1000/G2;0,00;0,00;-1,25;-2,50;1,50;-1,50;1,50;333;200;S;119;
P1000/G3;1,50;0,00;-1,25;-2,50;2,20;-2,20;2,20;333;200;S;194;
P1000/T1;0,00;0,00;-1,25;-1,25;0,00;-0,90;0,90;333;200;S;44;
P1000/T2;0,00;0,00;-1,25;-1,25;0,00;-1,00;1,00;333;200;S;49;
P1000/T3;0,00;0,00;-1,50;-1,50;0,00;-1,20;1,20;333;200;S;51;
P12000/EV1;0,00;0,00;-1,50;-3,00;1,50;1,75;1,50;2000;700;D;237;
P12000/EV2;0,00;0,00;-2,00;-4,00;1,50;1,75;1,50;2000;700;D;237;
P12000/EV3;2,20;0,00;-2,20;-4,40;2,35;2,70;2,35;2000;700;D;537;
P12000/G1;0,00;0,00;-1,00;-2,00;1,50;-1,50;1,50;4000;700;S;159;
P12000/G2;0,00;0,00;-1,25;-2,50;1,50;-1,50;1,50;4000;700;S;159;
P12000/G3;2,20;0,00;-1,25;-2,50;2,20;-2,20;2,20;4000;700;S;354;
P1500/G1;0,00;0,00;-1,00;-2,00;1,50;-1,50;1,50;500;200;S;96;
P1500/G2;0,00;0,00;-1,25;-2,50;1,50;-1,50;1,50;500;200;S;96;
P1500/G3;2,20;0,00;-1,25;-2,50;2,20;-2,20;2,20;500;200;S;176;
P1500/T1;0,00;0,00;-1,25;-1,25;0,00;-0,90;0,90;500;200;S;34;
P1500/T2;0,00;0,00;-1,25;-1,25;0,00;-1,00;1,00;500;200;S;37;
P1500/T3;0,00;0,00;-1,50;-1,50;0,00;-1,20;1,20;500;200;S;42;
P15000/EV1;0,00;0,00;-1,50;-3,00;1,50;1,75;1,50;2500;700;D;240;
P15000/EV2;0,00;0,00;-2,00;-4,00;1,50;1,75;1,50;2500;700;D;240;
P15000/EV3;2,20;0,00;-2,20;-4,40;2,35;2,70;2,35;2500;700;D;558;
P15000/G1;0,00;0,00;-1,00;-2,00;1,50;-1,50;1,50;5000;700;S;159;
P15000/G2;0,00;0,00;-1,25;-2,50;1,50;-1,50;1,50;5000;700;S;159;
P15000/G3;2,20;0,00;-1,25;-2,50;2,20;-2,20;2,20;5000;700;S;372;
P2000/EV1;0,00;0,00;-1,50;-3,00;1,50;1,75;1,50;333;700;D;200;
P2000/EV2;0,00;0,00;-2,00;-4,00;1,50;1,75;1,50;333;700;D;200;
P2000/EV3;2,20;0,00;-2,20;-4,40;2,35;2,70;2,35;333;700;D;468;
P2000/G1;0,00;0,00;-1,00;-2,00;1,50;-1,50;1,50;667;700;S;114;
P2000/G2;0,00;0,00;-1,25;-2,50;1,50;-1,50;1,50;667;700;S;114;
P2000/G3;2,20;0,00;-1,25;-2,50;2,20;-2,20;2,20;667;700;S;272;
P2000/T1;0,00;0,00;-1,25;-1,25;0,00;-0,90;0,90;667;700;S;34;
P2000/T2;0,00;0,00;-1,25;-1,25;0,00;-1,00;1,00;667;700;S;37;
P2000/T3;0,00;0,00;-1,50;-1,50;0,00;-1,20;1,20;667;700;S;50;
P3000/EV1;0,00;0,00;-1,50;-3,00;1,50;1,75;1,50;500;700;D;200;
P3000/EV2;0,00;0,00;-2,00;-4,00;1,50;1,75;1,50;500;700;D;200;
P3000/EV3;2,20;0,00;-2,20;-4,40;2,35;2,70;2,35;500;700;D;468;
P3000/G1;0,00;0,00;-1,00;-2,00;1,50;-1,50;1,50;1000;700;S;123;
P3000/G2;0,00;0,00;-1,25;-2,50;1,50;-1,50;1,50;1000;700;S;123;
P3000/G3;2,20;0,00;-1,25;-2,50;2,20;-2,20;2,20;1000;700;S;272;
P3000/T1;0,00;0,00;-1,25;-1,25;0,00;-0,90;0,90;1000;700;S;55;
P3000/T2;0,00;0,00;-1,25;-1,25;0,00;-1,00;1,00;1000;700;S;58;
P3000/T3;0,00;0,00;-1,50;-1,50;0,00;-1,20;1,20;1000;700;S;71;
P4000/EV1;0,00;0,00;-1,50;-3,00;1,50;1,75;1,50;667;700;D;222;
P4000/EV2;0,00;0,00;-2,00;-4,00;1,50;1,75;1,50;667;700;D;222;
P4000/EV3;2,20;0,00;-2,20;-4,40;2,35;2,70;2,35;667;700;D;423;
P4000/G1;0,00;0,00;-1,00;-2,00;1,50;-1,50;1,50;1333;700;S;129;
P4000/G2;0,00;0,00;-1,25;-2,50;1,50;-1,50;1,50;1333;700;S;129;
P4000/G3;2,20;0,00;-1,25;-2,50;2,20;-2,20;2,20;1333;700;S;281;
P500/T1;0,00;0,00;-1,25;-1,25;0,00;-0,90;0,90;167;200;S;28;
P500/T2;0,00;0,00;-1,25;-1,25;0,00;-1,00;1,00;167;200;S;31;
P500/T3;0,00;0,00;-1,50;-1,50;0,00;-1,20;1,20;167;200;S;37;
P6000/EV1;0,00;0,00;-1,50;-3,00;1,50;1,75;1,50;1000;700;D;222;
P6000/EV2;0,00;0,00;-2,00;-4,00;1,50;1,75;1,50;1000;700;D;222;
P6000/EV3;2,20;0,00;-2,20;-4,40;2,35;2,70;2,35;1000;700;D;488;
P6000/G1;0,00;0,00;-1,00;-2,00;1,50;-1,50;1,50;2000;700;S;129;
P6000/G2;0,00;0,00;-1,25;-2,50;1,50;-1,50;1,50;2000;700;S;129;
P6000/G3;2,20;0,00;-1,25;-2,50;2,20;-2,20;2,20;2000;700;S;293;
P9000/EV1;0,00;0,00;-1,50;-3,00;1,50;1,75;1,50;1500;700;D;213;
P9000/EV2;0,00;0,00;-2,00;-4,00;1,50;1,75;1,50;1500;700;D;213;
P9000/EV3;2,20;0,00;-2,20;-4,40;2,35;2,70;2,35;1500;700;D;534;
P9000/G1;0,00;0,00;-1,00;-2,00;1,50;-1,50;1,50;3000;700;S;153;
P9000/G2;0,00;0,00;-1,25;-2,50;1,50;-1,50;1,50;3000;700;S;153;
P9000/G3;2,20;0,00;-1,25;-2,50;2,20;-2,20;2,20;3000;700;S;339;
PORTICO;0,00;-1,60;-1,60;-1,60;-1,50;0,00;1,50;700;666;S;0;
RD1;0,00;-2,80;-5,05;-7,30;2,35;2,70;2,35;1135;303;D;0;
RD1 C/MEIO BRACO;0,00;-2,80;-5,05;-7,30;2,35;-2,70;2,35;1135;303;S;0;
RD2;0,00;-2,80;-5,05;-7,30;2,35;2,70;2,35;1135;303;D;0;
RD2 C/MEIO BRACO;0,00;-2,80;-5,05;-7,30;2,35;-2,70;2,35;1135;303;S;0;
RD3;0,00;-2,80;-5,05;-7,30;2,35;2,70;2,35;1135;303;D;0;
RD3 C/MEIO BRACO;0,00;-2,80;-5,05;-7,30;2,35;-2,70;2,35;1135;303;S;0;
RD4;0,00;-2,80;-5,05;-7,30;2,35;2,70;2,35;1135;303;D;0;
RD4 C/MEIO BRACO;0,00;-2,80;-5,05;-7,30;2,35;-2,70;2,35;1135;303;S;0;
RD5;0,00;-2,80;-5,05;-7,30;2,35;2,70;2,35;835;640;D;0;
RD5 C/MEIO BRACO;0,00;-2,80;-5,05;-7,30;2,35;-2,70;2,35;835;640;S;0;
RD6;0,00;-2,80;-5,05;-7,30;2,35;2,70;2,35;835;640;D;0;
RD6 C/MEIO BRACO;0,00;-2,80;-5,05;-7,30;2,35;-2,70;2,35;835;640;S;0;
RD7;0,00;-2,80;-5,05;-7,30;2,35;2,70;2,35;835;640;D;0;
RD7 C/MEIO BRACO;0,00;-2,80;-5,05;-7,30;2,35;-2,70;2,35;835;640;S;0;
RDE1;0,00;-2,80;-5,80;-8,80;2,35;2,70;2,35;1135;303;D;0;
RDE2;0,00;-2,80;-5,80;-8,80;2,35;2,70;2,35;1135;303;D;0;
RDE3;0,00;-2,80;-5,80;-8,80;2,35;2,70;2,35;1135;303;D;0;
RDE4;0,00;-2,80;-5,80;-8,80;2,35;2,70;2,35;1135;303;D;0;
RDE5;0,00;-2,80;-5,80;-8,80;2,35;2,70;2,35;835;640;D;0;
RDE6;0,00;-2,80;-5,80;-8,80;2,35;2,70;2,35;835;640;D;0;
RDE7;0,00;-2,80;-5,80;-8,80;2,35;2,70;2,35;835;640;D;0;
RDG1;0,00;-2,80;-6,55;-10,20;2,35;2,70;2,35;1135;303;D;0;
RDG2;0,00;-2,80;-6,55;-10,20;2,35;2,70;2,35;1135;303;D;0;
RDG3;0,00;-2,80;-6,55;-10,20;2,35;2,70;2,35;1135;303;D;0;
RDG4;0,00;-2,80;-6,55;-10,20;2,35;2,70;2,35;1135;303;D;0;
RDG5;0,00;-2,80;-6,55;-10,20;2,35;2,70;2,35;835;640;D;0;
RDG6;0,00;-2,80;-6,55;-10,20;2,35;2,70;2,35;835;640;D;0;
RDG7;0,00;-2,80;-6,55;-10,20;2,35;2,70;2,35;835;640;D;0;
SD1;0,00;-2,90;-5,15;-7,40;2,35;2,65;2,45;276;193;D;0;
SD2;0,00;-2,90;-5,15;-7,40;2,35;2,65;2,45;276;193;D;0;
SD3;0,00;-2,90;-5,15;-7,40;2,35;2,65;2,45;276;193;D;0;
SD4;0,00;-2,90;-5,15;-7,40;2,35;2,65;2,45;276;193;D;0;
SD5;0,00;-2,90;-5,15;-7,40;2,35;2,65;2,45;276;193;D;0;
SD6;0,00;-2,90;-5,15;-7,40;2,35;2,65;2,45;276;193;D;0;
WA1;0,00;-5,60;-11,60;-17,60;4,50;6,00;5,00;3210;1229;D;0;
WA2;0,00;-5,60;-11,60;-17,60;4,50;6,00;5,00;3210;1229;D;0;
WA3;0,00;-5,60;-11,60;-17,60;4,50;6,00;5,00;3210;1229;D;0;
WA4;0,00;-5,60;-11,60;-17,60;4,50;6,00;5,00;3210;1229;D;0;
WA5;0,00;-5,60;-11,60;-17,60;4,50;6,00;5,00;3210;1229;D;0;
WA6;0,00;-5,60;-11,60;-17,60;4,50;6,00;5,00;3210;1229;D;0;
WR1;0,00;-5,60;-11,60;-17,60;4,50;6,00;5,00;2052;1229;D;0;
WR2;0,00;-5,60;-11,60;-17,60;4,50;6,00;5,00;2052;1229;D;0;
WR3;0,00;-5,60;-11,60;-17,60;4,50;6,00;5,00;2052;1229;D;0;
WR4;0,00;-5,60;-11,60;-17,60;4,50;6,00;5,00;2052;1229;D;0;
RS9/103 e;0,00;0,00;-1,25;-2,50;1,40;-1,45;1,50;1;1;S;130;
RS9/103 I;0,00;-0,35;-1,35;-2,35;1,30;-1,35;1,40;1;1;S;130;
RS9/110 N;0,00;-0,55;-2,17;-3,79;2,00;-2,10;2,20;1;1;S;180;
RS9/G;0,00;-2,20;-2,20;-2,20;-1,62;0,00;1,62;1;1;S;70;
RS9/G1;0,00;-2,50;-2,50;-2,50;-1,72;0,00;1,72;1;1;S;75;
RS9/G2;0,00;-2,80;-2,80;-2,80;-1,80;0,00;1,80;1;1;S;80;
RS9/M;0,00;-1,90;-1,90;-1,90;-2,32;0,00;2,32;1;1;S;60;
RS9/N;0,00;-1,60;-1,60;-1,60;-1,07;0,00;1,07;1;1;S;45;
RS9/P;0,00;-1,30;-1,30;-1,30;-0,85;0,00;0,85;1;1;S;35;
RS15/103 e;0,00;0,00;-1,25;-2,50;1,40;-1,45;1,50;1;1;S;130;
RS15/103 I;0,00;-0,35;-1,35;-2,35;1,30;-1,35;1,40;1;1;S;130;
RS15/110 N;0,00;-0,55;-2,17;-3,79;2,00;-2,10;2,20;1;1;S;180;
RS15/G;0,00;-2,20;-2,20;-2,20;-1,62;0,00;1,62;1;1;S;70;
RS15/G1;0,00;-2,50;-2,50;-2,50;-1,72;0,00;1,72;1;1;S;75;
RS15/G2;0,00;-2,80;-2,80;-2,80;-1,80;0,00;1,80;1;1;S;80;
RS15/M;0,00;-1,90;-1,90;-1,90;-2,32;0,00;2,32;1;1;S;60;
RS15/N;0,00;-1,60;-1,60;-1,60;-1,07;0,00;1,07;1;1;S;45;
RS15/P;0,00;-1,25;-1,25;-1,25;-0,85;0,00;0,85;1;1;S;35;
RS22/110 E;1,50;-0,40;-1,94;-3,62;1,60;-1,95;2,30;1;1;S;215;
RS22/110 l;0,00;0,00;-1,25;-2,50;1,45;-1,50;1,55;1;1;S;140;
RS22/110 m;0,00;-0,40;-1,40;-2,40;1,33;1,38;1,43;1;1;S;155;
RS22/110 N;1,75;-0,55;-2,17;-3,79;2,00;-2,10;2,20;1;1;S;185;
RS22/5 a;1,30;-0,40;-2,42;-4,52;1,60;2,25;1,75;1;1;D;305;
RS31/110 E;1,50;-0,40;-1,94;-3,62;1,60;-1,95;2,30;1;1;S;215;
RS31/110 l;0,00;0,00;-1,25;-2,50;1,45;-1,50;1,55;1;1;S;140;
RS31/110 m;0,00;-0,40;-1,40;-2,40;1,33;1,38;1,43;1;1;S;155;
RS31/110 N;1,75;-0,55;-2,17;-3,79;2,00;-2,10;2,20;1;1;S;250;
RS31/5 a;1,30;-0,40;-2,42;-4,52;1,60;2,25;1,75;1;1;D;410;
RS42/110 E;1,30;-0,40;-1,94;-3,62;1,60;-1,95;2,30;1;1;S;215;
RS42/110 l;0,00;0,00;-1,25;-2,50;1,45;-1,50;1,55;1;1;S;140;
RS42/110 m;0,00;-0,40;-1,40;-2,40;1,33;1,38;1,43;1;1;S;155;
RS42/110 N;1,75;-0,55;-2,17;-3,79;2,00;-2,10;2,20;1;1;S;250;
RS42/5 a;1,30;-0,40;-2,40;-4,40;1,60;2,25;1,75;1;1;D;435;
RS63/110 D;1,30;-0,55;-2,15;-3,75;2,00;-2,10;2,20;1;1;S;295;
RS63/110 E;1,50;-0,40;-1,95;-3,62;1,60;-1,95;2,30;1;1;S;255;
RS63/110 F;1,50;-0,55;-2,18;-3,77;1,59;-1,69;1,79;1;1;S;270;
RS63/114 L;1,30;-1,20;-3,00;-3,00;2,20;1,85;3,20;1;1;D;600;
RS63/5 a;1,30;-0,40;-2,40;-4,40;1,60;2,25;1,75;1;1;D;445;
RS94/114 J;1,75;-0,55;-2,15;-3,75;2,00;-2,10;2,20;1;1;S;315;
RS94/114 L;1,30;-1,20;-3,00;-3,00;2,20;1,85;3,20;1;1;D;600;
RS94/114 N;1,85;-0,90;-3,70;-5,78;2,40;3,30;2,70;1;1;D;850;
RS94/132 C;1,85;-0,77;-2,96;-5,14;2,40;3,30;2,70;1;1;D;865;
RS140/27;1,85;-0,99;-2,99;-4,99;2,40;3,30;2,50;1;1;D;880;
RS140/40;1,50;-1,18;-2,88;-4,58;2,10;-2,20;2,30;1;1;S;430;
RS140/41 A;1,50;-0,95;-2,95;-4,95;2,40;3,30;2,70;1;1;D;880;
RS140/43;1,50;-1,31;-3,31;-3,31;2,20;1,88;3,30;1;1;D;600;
EVDAL-AT;0,13;-1,38;-3,75;-6,13;1,75;1,75;1,75;1;1;D;245;
EVDAN-AT;0,13;-1,38;-3,75;-6,13;1,75;1,75;1,75;1;1;D;582;
EVFAN-AT;0,13;-1,63;-3,13;-4,63;0,00;0,00;0,00;1;1;S;173;
EVFR-AT;0,13;-1,63;-3,13;-4,63;0,00;0,00;0,00;1;1;S;173;
GAL-AT;0,13;-1,38;-2,63;-3,88;1,75;-1,75;1,75;1;1;S;170;
GAN-AT;0,13;-1,38;-2,63;-3,88;1,75;-1,75;1,75;1;1;S;328;
GAL;0,00;-0,50;-1,25;-2,00;1,04;-1,04;1,04;1550;225;S;0;
GAN 120;0,00;-0,50;-1,25;-2,00;1,04;-1,04;1,04;3200;720;S;0;
GAN 80;0,00;-0,50;-1,25;-2,00;1,04;-1,04;1,04;3200;560;S;0;
HPT4;0,00;-0,15;-0,15;-0,15;0,00;-0,89;0,89;500;40;S;0;
HRF 100;0,00;-0,20;-0,20;-0,20;0,00;-0,89;0,89;1500;340;S;0;
HRF 120;0,00;-0,20;-0,20;-0,20;0,00;-0,89;0,89;900;340;S;0;
TAN 60;0,00;-0,18;-1,13;-1,13;0,00;-0,89;0,89;3100;120;S;0;
TAN 80;0,00;-0,18;-1,13;-1,13;0,00;-0,89;0,89;3100;370;S;0;
TAN 100;0,00;-0,18;-1,13;-1,13;0,00;-0,89;0,89;3100;770;S;0;
TAN 120;0,00;-0,18;-1,13;-1,13;0,00;-0,89;0,89;3100;1300;S;0;
EVDAL-MT;0,00;-0,63;-2,00;-3,38;1,14;1,14;1,14;1;1;D;150;
EVDAN-MT;0,00;-0,63;-2,00;-3,38;1,14;1,14;1,14;1;1;D;300;
